what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1510211165134
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1510211165134
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1510211165134
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1510211165134
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1510211165134
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1510211165134
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1510211165134
os,sysinfo,,,"win32",1510211165134
arch,sysinfo,,,"x86_64",1510211165134
ws,sysinfo,,,"win32",1510211165134
locale,sysinfo,,,"en_PH",1510211165134
processors,sysinfo,,,"4",1510211165134
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1510211165134
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1510211165134
java.specification.name,sysinfo,,,"Java Platform API Specification",1510211165134
java.specification.vendor,sysinfo,,,"Oracle Corporation",1510211165134
java.specification.version,sysinfo,,,"1.8",1510211165134
java.vendor,sysinfo,,,"Oracle Corporation",1510211165134
java.version,sysinfo,,,"1.8.0_121",1510211165134
java.vm.info,sysinfo,,,"mixed mode",1510211165134
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1510211165134
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1510211165134
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1510211165134
java.vm.specification.version,sysinfo,,,"1.8",1510211165134
java.vm.vendor,sysinfo,,,"Oracle Corporation",1510211165134
java.vm.version,sysinfo,,,"25.121-b13",1510211165134
opened,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510211168974
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510211169037
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510211176563
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.navigate.next",1510211176563
started,bundle,org.eclipse.jgit,3.4.2.201412180340-r,"org.eclipse.jgit",1510211178795
started,bundle,org.eclipse.egit.core,3.4.2.201412180340-r,"org.eclipse.egit.core",1510211178810
started,bundle,org.eclipse.egit.ui,3.4.2.201412180340-r,"org.eclipse.egit.ui",1510211178832
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510211183052
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510211185311
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1510211185811
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.paste",1510211185927
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510211189335
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510211195180
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510211197417
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.paste",1510211198248
started,bundle,org.eclipse.jdt.junit,3.7.300.v20140418-0836,"org.eclipse.jdt.junit",1510211199379
started,bundle,org.eclipse.pde.api.tools,1.0.600.v20140520-1809,"org.eclipse.pde.api.tools",1510211199401
started,bundle,org.eclipse.pde.api.tools.ui,1.0.500.v20140512-1548,"org.eclipse.pde.api.tools.ui",1510211199401
started,bundle,org.testng.eclipse,6.10.0.201612030230,"org.testng.eclipse",1510211199417
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.undo",1510211199433
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510211199900
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510211203448
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.paste",1510211204179
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510211205064
started,bundle,org.eclipse.debug.ui,3.10.0.v20140604-1637,"org.eclipse.debug.ui",1510211205665
started,bundle,org.eclipse.jdt.debug,3.8.102.v20150115-1323,"org.eclipse.jdt.debug",1510211206003
started,bundle,org.eclipse.jdt.debug.ui,3.6.300.v20140512-1926,"org.eclipse.jdt.debug.ui",1510211206019
started,bundle,org.eclipse.m2e.launching,1.7.0.20160603-1933,"org.eclipse.m2e.launching",1510211208085
started,bundle,org.eclipse.ui.externaltools,3.2.300.v20140327-1949,"org.eclipse.ui.externaltools",1510211210428
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510211210543
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510211212009
executed,command,org.eclipse.ui.externaltools,3.2.300.v20140327-1949,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1510211212009
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1510211212861
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1510211212879
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.undo",1510211225696
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.undo",1510211226228
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.undo",1510211226429
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.undo",1510211226961
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.edit.undo",1510211227446
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510211228704
